,header,pub_time,url,views
0,Coinbase托管服务考虑新增加密资产，瑞波和EOS都榜上有名,2018-08-05 13:36:32,http://www.8btc.com/coming-to-coinbase,5239
1,赵长鹏：一直对Tether表示担忧，但是Tether没必要操纵比特币价格,2018-08-05 11:45:55,http://www.8btc.com/binance-ceo-changpeng-zhao-with-tether-concern-is-always-there,3407
2,审计报告：韩国交易所Upbit被澄清，拥有100%用户资金,2018-08-05 10:04:21,http://www.8btc.com/upbit-comes-out-clean,2075
3,区块链行业并购潮即将袭来？,2018-08-05 09:33:01,http://www.8btc.com/is-the-blockchain-m-and-a-wave-starting,2867
4,提高挖矿竞争力，维护区块链完整性：索尼获得两项专利,2018-08-05 08:45:36,http://www.8btc.com/sony-blockchain-patents,1875
5,区块链是个人自由和隐私的促进者还是绊脚石？,2018-08-05 07:35:32,http://www.8btc.com/personal-privacy-blockchain,1689
6,高盛：比特币和加密货币狂热影响2018年市场前景,2018-08-04 14:33:19,http://www.8btc.com/goldman-sachs-crypto-mania,21679
7,视频|《8问》曹寅：我眼里的区块链是一种新的治理模式,2018-08-04 10:24:05,http://www.8btc.com/20180804,9706
8,区块链能否保护世界经济免受金融危机的冲击呢？,2018-08-04 09:30:44,http://www.8btc.com/blockchain-protect-the-world-economy-from-financial-crises,3835
9,代码解析！如何构建广义状态通道,2018-08-04 08:23:52,http://www.8btc.com/code-walkthrough-for-generalised-state-channels,3362
10,弯道超车老司机戏耍智能合约——竞态条件漏洞 ,2018-08-04 07:52:07,http://www.8btc.com/lianan-series-03,2516
11,人工智能和区块链技术结合的三大优势,2018-08-04 07:42:24,http://www.8btc.com/3-advantages-ai-n-blockchain,2996
12,加速Liquid普及：Liquid区块探索者,2018-08-04 07:39:08,http://www.8btc.com/liquid-explorer,1832
13,深入浅出谈谈智能合约：编译、创建和部署合约,2018-08-04 07:35:15,http://www.8btc.com/smart-contract-0804,1759
14,重磅！纽交所母公司宣布将推出数字资产平台和比特币期货,2018-08-03 23:43:39,http://www.8btc.com/nyse-parent-ices-new-futures-contract-will-deliver-real-bitcoin,16470
15,【巴比特每日热聊榜】币友故事：我的财富自由之路，人生第一个3000万,2018-08-03 22:59:26,http://www.8btc.com/p246076,7127
16,旧金山首个“区块链音乐节”开启售票,2018-08-03 20:55:17,http://www.8btc.com/san-franciscos-first-blockchain-music-festival,3275
17,Mt. Gox赔付方案更新：价值$13亿的BTC和BCH付给债权人，其余币种换成现金,2018-08-03 17:01:12,http://www.8btc.com/mt-gox-bitcoin-repayments,13185
18,分析：BTC日元交易量占比第一或因计入衍生品交易额,2018-08-03 16:46:30,http://www.8btc.com/data-shows-us-dollar-not-japanese-yen-is-dominating-bitcoin-trade,3235
19,Weiss Ratings：各路“砖家”4类神言论遭打脸,2018-08-03 16:38:11,http://www.8btc.com/misconceptions-about-crypto,4022
