,brief,classes_name,header,news_url,pubtime,savetime
0,记者8月5日从工业和信息化部获悉，电信诈骗治理已取得阶段性成果，工信部将持续加强电信诈骗源头和综合治理，进一步加大电信诈骗整治力度。,澎湃新闻,工信部将加力整治电信诈骗，已关停违规语音专线6.1万条,https://www.thepaper.cn/newsDetail_forward_2322212,49分钟前,2018-08-05 19:43:57
1,最新一期《瞭望》新闻周刊以封面文章刊发一组系列报道，介绍了上海在全力打响“四大品牌”、进一步扩大开放、推进长三角一体化、城市精细化治理方面的新作为、新气象。,澎湃新闻,《瞭望》新闻周刊封面专题报道：上海奋楫高质量发展,https://www.thepaper.cn/newsDetail_forward_2322223,39分钟前,2018-08-05 19:43:57
2,8月3日至4日在新加坡召开的东亚合作系列外长会期间，美朝代表再度会晤，但围绕是否放松或解除对朝制裁一事各执一词。,澎湃新闻,朝鲜外相批美国“缺乏耐心”，金正恩三伏天视察经济一线,https://www.thepaper.cn/newsDetail_forward_2322043,2小时前,2018-08-05 19:43:57
3,在与澎湃新闻的长谈中，“超级丹”坦承自己仍憧憬着第5次奥运之旅，他的规划、努力甚至内心的波澜都让人感慨。“竞争远没有结束。”35岁的他离开前抛下这样一句话。,澎湃新闻,独家│林丹：寻找新教练直面奥运竞争，孤独感李宗伟也未必懂,https://www.thepaper.cn/newsDetail_forward_2322064,2小时前,2018-08-05 19:43:58
4,目前，非洲猪瘟控制得咋样了，如何保证买到的肉不是问题肉，为什么没有发病的猪也要扑杀？就非洲猪瘟这些问题，辽报君请省畜牧兽医局进行了权威解答。,澎湃新闻,辽宁省畜牧兽医局：确保封锁区内的猪及产品都运不出来,https://www.thepaper.cn/newsDetail_forward_2322194,1小时前,2018-08-05 19:43:58
5,民政部官网“部领导”一栏显示，詹成付职务已经更新，现任民政部党组成员、副部长、社会组织管理局（社会组织执法监察局、社会工作司）局长、社会组织服务中心主任。,澎湃新闻,民政部党组成员詹成付出任副部长,https://www.thepaper.cn/newsDetail_forward_2322178,1小时前,2018-08-05 19:43:58
6,8月5日，重庆万州。西山公园江边一艘客船起火，现场浓烟滚滚。经半小时扑救大火被彻底扑灭，无人员伤亡。据了解船内还残留废旧柴油，所幸扑救及时，未引起爆炸。,澎湃新闻,重庆一江边客船起火，舱内留有废柴油,https://www.thepaper.cn/newsDetail_forward_2322167,1小时前,2018-08-05 19:43:58
7,4日18时许，象山县海洋与渔业部门接宁波海事部门情况通报，江苏籍一渔船遇险，船上14人落水，其中3人已经获救。对此，江苏渔业部门表示，经核实该渔船并非江苏籍。,澎湃新闻,江苏海洋与渔业局：浙江海域遇险渔船非江苏籍，搜救仍在继续,https://www.thepaper.cn/newsDetail_forward_2322161,1小时前,2018-08-05 19:43:58
8,通知书要求美年富海门诊部规范医生执业行为管理，医生应亲自审核并发出体检报告；加强医疗文书管理，完善医生手写签名；依法依规开展放射诊疗服务等。,澎湃新闻,美年健康：下属广州富海门诊部被责令整改,https://www.thepaper.cn/newsDetail_forward_2322123,1小时前,2018-08-05 19:43:58
9,8月3日，有媒体报道湖北经济学院财政与公共管理学院院长蔡红英“学术不端”问题，8月4日，该校学术委员会召开专题会议就相关问题进行认定。,澎湃新闻,湖北经济学院一院长被指学术不端，院方：经认定不存在抄袭等,https://www.thepaper.cn/newsDetail_forward_2322143,1小时前,2018-08-05 19:43:58
