,brief,classes_name,header,news_url,pubtime,savetime
0,苹果将在今年将推出三款iPhone，其中两款在外观上早已经没有太多秘密，@OnLeaks、Ben Geskin等泄露大神又贴出了一些更清晰的图像。,移动资讯,两款下一代iPhone真机更多清晰图现身 证实之前泄露内容,http://news.iresearch.cn/content/2018/08/275856.shtml,2018-08-01,2018-08-06 19:41:31
1,相比前两年百花争鸣的情况，现在国产手机市场已经进入了垄断局面。简单总结后的结论就是，强者愈强的马太效应的加剧，对其它的手机厂商而言会是愈发难以维系的局面。,移动资讯,不可思议 这四家厂商已经垄断中国手机市场 魅族苹果三星远去,http://news.iresearch.cn/content/2018/07/275766.shtml,2018-07-26,2018-08-06 19:41:31
2,微信红包本是亲友间娱乐、交流的一种方式，但在一些微信群里，几块钱的红包却代表着数万块钱的输赢。,移动资讯,微信红包赌博再现新花样 机器人自动结算,http://news.iresearch.cn/content/2018/07/275732.shtml,2018-07-25,2018-08-06 19:41:32
3,俄分析人士认为，正是网店帮助华为击败竞争对手，华为用折扣和促销活动吸引了在线购物者。,移动资讯,中国智能手机取代苹果 首夺俄罗斯线上销售冠军,http://news.iresearch.cn/content/2018/07/275703.shtml,2018-07-24,2018-08-06 19:41:32
4,BAT小程序与快应用四者虽是相似的应用，然而对他们进行细致的比较分析，会发现其企业各自的特点，在小程序身上都有体现。,移动资讯,取代80% App的小程序有困境，也是百度、阿里、腾讯的劣势,http://news.iresearch.cn/content/2018/07/275681.shtml,2018-07-20,2018-08-06 19:41:32
5,7月19日，据中国联通披露，当日下午中国联通集团召开领导班子（扩大）会议，会上宣布李国华任中国联通集团董事、总经理、党组副书记，免去其中国邮政集团公司总经理、党组书记职务。,移动资讯,两大电信运营商高管双双生变 通信行业或迎来大变革,http://news.iresearch.cn/content/2018/07/275662.shtml,2018-07-20,2018-08-06 19:41:32
6,近日，即速应用发布了一份《2018年小程序生态进化报告》，分别从小程序生态变迁、用户行为进阶分析、热点行业市场表现、第三方开发服务商发展四个维度对小程序现状进行深度剖析，并推测出小程序未来发展趋势。,移动资讯,微信小程序年中报告：用户超6亿，小程序利润空间在哪？,http://news.iresearch.cn/content/2018/07/275620.shtml,2018-07-18,2018-08-06 19:41:32
7,董明珠做手机的野心路人皆知，但一直以来，格力手机都没有亮眼的销量成绩，而内部“消化”库存的质疑一直时有发生。,移动资讯,董明珠又出新招？空调安装工被“强卖”格力手机,http://news.iresearch.cn/content/2018/07/275617.shtml,2018-07-18,2018-08-06 19:41:33
8,7月17日晚，认证为夏普手机的微博账号张突然清空了自己所有的微博，引起了许多网友的关注与议论，许多人担心夏普手机又一次退出市场。,移动资讯,因不明原因 7月17日夏普手机突然清空微博,http://news.iresearch.cn/content/2018/07/275609.shtml,2018-07-18,2018-08-06 19:41:33
9,从共享单车、共享滑板车、网约车到无人驾驶、飞行汽车，甚至到火箭……令人眼花缭乱的出行方式正吸引着全球资本的疯狂追逐。,移动资讯,谷歌、Uber、软银为什么都要跟共享滑板车较劲？,http://news.iresearch.cn/content/2018/07/275602.shtml,2018-07-17,2018-08-06 19:41:33
10,拼多多正在创造最快上市的记录，从成立到向美国递交IPO申请，只用了3年。这也就不难理解，为何近期关于拼多多的新闻甚嚣尘上。,移动资讯,拼多多悖论：高速发展掩盖了假冒伪劣的横行,http://news.iresearch.cn/content/2018/07/275599.shtml,2018-07-17,2018-08-06 19:41:33
11,Uber正在缩减自动驾驶团队的规模,移动资讯,Uber缩减无人驾驶团队规模：裁员约100人,http://news.iresearch.cn/content/2018/07/275532.shtml,2018-07-12,2018-08-06 19:41:33
12,7月11日下午乐融致新（原乐视致新，即乐视超级电视团队）和一链科技在北京召开沟通会，发布了一款涉及区块链技术、可以挖矿的电视盒子——一链盒子。,移动资讯,原乐视超级团队发新品：一个采用区块链的电视盒子,http://news.iresearch.cn/content/2018/07/275527.shtml,2018-07-12,2018-08-06 19:41:34
13,TF国际证券公司苹果供应链分析师郭明錤(Ming-Chi Kuo，音译)发布了有关预测苹果秋季产品线的研究报告。,移动资讯,郭明錤：除iPhone外苹果今秋还可能发布这些产品,http://news.iresearch.cn/content/2018/07/275515.shtml,2018-07-12,2018-08-06 19:41:34
14,不完全统计，“旧金山”人里，成功IPO的就有王峰的蓝港、冯鑫的暴风、陈睿的B站，而傅盛也执掌了更名猎豹之前的金山网络。,移动资讯,王峰们能否走出雷军“阴影”？,http://news.iresearch.cn/content/2018/07/275506.shtml,2018-07-11,2018-08-06 19:41:34
