,header,pub_time,url
0,埃塞俄比亚：中非合作论坛是南南合作的最佳实践,8-16 21:48,http://www.chinanews.com/gj/2018/08-16/8602238.shtml
1,中国工程师使用无人机修建悬索桥 境外舆论惊叹：中国工程太赞了！,8-16 21:33,http://www.chinanews.com/gj/2018/08-16/8602227.shtml
2,韩媒：韩朝讨论组建更多联队参加国际赛事,8-16 21:29,http://www.chinanews.com/gj/2018/08-16/8602221.shtml
3,中国大使馆捐助柬埔寨洪灾灾民,8-16 21:22,http://www.chinanews.com/gj/2018/08-16/8602206.shtml
4,大马法官：朝鲜男子死亡案女被告人表面证供成立,8-16 21:19,http://www.chinanews.com/gj/2018/08-16/8602214.shtml
5,阿富汗首都一军事训练基地附近发生枪战,8-16 21:09,http://www.chinanews.com/gj/2018/08-16/8602192.shtml
6,印度前总理瓦杰帕伊去世 莫迪赞扬其生前功绩,8-16 20:59,http://www.chinanews.com/gj/2018/08-16/8602199.shtml
7,巴勒斯坦总统重申反对美国倡导的“世纪协议”,8-16 20:35,http://www.chinanews.com/gj/2018/08-16/8602154.shtml
8,印度前总理瓦杰帕伊去世 曾三度出任总理,8-16 20:21,http://www.chinanews.com/gj/2018/08-16/8602155.shtml
9,马里现任总统在总统选举第二轮投票中胜出,8-16 20:06,http://www.chinanews.com/gj/2018/08-16/8602148.shtml
10,阿富汗首都喀布尔市区爆发枪战,8-16 20:06,http://www.chinanews.com/gj/2018/08-16/8602145.shtml
11,马里现任总统在总统选举第二轮投票中胜出,8-16 20:05,http://www.chinanews.com/gj/2018/08-16/8602144.shtml
12,调查：日本自民党地方干部21人支持安倍当选总裁,8-16 19:56,http://www.chinanews.com/gj/2018/08-16/8602135.shtml
13,干旱少雨致澳大利亚新州林火肆虐,8-16 19:38,http://www.chinanews.com/gj/2018/08-16/8602118.shtml
14,日媒：日本对美出口或因特朗普保护主义政策加速下滑,8-16 19:35,http://www.chinanews.com/gj/2018/08-16/8602114.shtml
15,美军方称将为G20阿根廷峰会提供安全支持,8-16 19:26,http://www.chinanews.com/gj/2018/08-16/8602110.shtml
16,俄罗斯鼓励居民向远东地区迁移,8-16 19:03,http://www.chinanews.com/gj/2018/08-16/8602090.shtml
17,柬埔寨人民党：未来5年走符合国情的民主道路,8-16 18:45,http://www.chinanews.com/gj/2018/08-16/8602073.shtml
18,“伊斯兰国”宣称对喀布尔教育机构袭击事件负责,8-16 18:41,http://www.chinanews.com/gj/2018/08-16/8602081.shtml
19,马哈蒂尔将访华 中马关系受关注,8-16 18:40,http://www.chinanews.com/gj/2018/08-16/8602079.shtml
20,综述：卢拉完成候选人注册　巴西选情扑朔迷离,8-16 18:25,http://www.chinanews.com/gj/2018/08-16/8602070.shtml
21,综述：卢拉完成候选人注册 巴西选情扑朔迷离,8-16 18:25,http://www.chinanews.com/gj/2018/08-16/8602068.shtml
22,印度前总理瓦杰帕伊病危,8-16 18:23,http://www.chinanews.com/gj/2018/08-16/8602065.shtml
23,卡塔尔承诺向土耳其提供150亿美元经济支持,8-16 18:14,http://www.chinanews.com/gj/2018/08-16/8602049.shtml
24,“期待继续推动马中关系向前发展”――访马来西亚总理马哈蒂尔,8-16 18:05,http://www.chinanews.com/gj/2018/08-16/8602054.shtml
25,印度卢比跌至历史最低 美媒：土耳其里拉崩盘传导效应,8-16 17:50,http://www.chinanews.com/gj/2018/08-16/8602036.shtml
26,美国和墨西哥成立联合小组 共同打击毒品犯罪,8-16 17:48,http://www.chinanews.com/gj/2018/08-16/8602033.shtml
27,惊喜来客！普京将赴奥地利参加奥外长婚礼,8-16 17:47,http://www.chinanews.com/gj/2018/08-16/8602032.shtml
28,韩国拟将非军事区打造为和平教育与观光基地,8-16 17:47,http://www.chinanews.com/gj/2018/08-16/8602031.shtml
29,交通事故简易处理新规要求7种情况应立即报警 盘点他国规定,8-16 17:46,http://www.chinanews.com/gj/2018/08-16/8602030.shtml
30,支持韩朝联办 韩政府今年将拨款逾34万亿韩元,8-16 16:59,http://www.chinanews.com/gj/2018/08-16/8601835.shtml
31,比亚迪百辆电动车在泰国曼谷交付,8-16 16:56,http://www.chinanews.com/gj/2018/08-16/8601920.shtml
32,日本政府决定推迟美军基地迁移填海工程,8-16 16:55,http://www.chinanews.com/gj/2018/08-16/8601834.shtml
33,财经观察：美国制裁下的“三国策”,8-16 16:55,http://www.chinanews.com/gj/2018/08-16/8601949.shtml
34,意大利宣布垮塌公路桥所在地区进入紧急状态,8-16 16:54,http://www.chinanews.com/gj/2018/08-16/8601823.shtml
35,澳大利亚本土华资助力提升城市竞争力,8-16 16:53,http://www.chinanews.com/gj/2018/08-16/8601808.shtml
36,科学家：过去35年海洋出现“热浪”天数倍增,8-16 16:36,http://www.chinanews.com/gj/2018/08-16/8601902.shtml
37,荧光染料让细胞内所有蛋白质发光,8-16 16:13,http://www.chinanews.com/gj/2018/08-16/8601856.shtml
38,患者因无法走完500米路不符资助标准 失去救命药,8-16 16:10,http://www.chinanews.com/gj/2018/08-16/8601849.shtml
39,韩国防部称将大幅拆除沿江沿海边防围栏 还岸于民,8-16 15:58,http://www.chinanews.com/gj/2018/08-16/8601817.shtml
40,中国文化走进尼泊尔巴格马蒂学校,8-16 15:53,http://www.chinanews.com/gj/2018/08-16/8601739.shtml
41,阿富汗喀布尔一情报培训中心遭枪手袭击 伤亡不明,8-16 14:55,http://www.chinanews.com/gj/2018/08-16/8601780.shtml
