,brief,header,pubtime,savetime
0,万维链周四通过官方推特宣布加盟企业以太坊联盟 EEA。万维链副总裁 Oliver Birch 称：「非常高兴成为 EEA 一员。联盟让我们能与各行各业领导企业一同解决区块链具体用例。我们期待帮助联盟将全球数字资产连接起来。」 EEA 包括了摩根大通、埃森哲、安永、微软等财富 500 强企业，以及众多科技初创企业、技术研究机构及以太坊专家等等。万维链则是一个集隐私保护+跨链+智能合约三大特征的基础底层平台。,万维链加入企业以太坊联盟,17:36,2018-08-31 20:26:36
1,据 CNBC 报道，比特币已被德国财政部认可为「账户单位」，这意味着它可用于该国的税务和交易。财政部在一份声明中表示，比特币不属于电子货币或外币，而是德国银行业规则下的金融工具。该部表示，它更像是可以用于「多边清算圈（multilateral clearing circles）」的「私人资金（private money）」。,德国财政部：比特币是私人资金，可用于税务及交易目的,15:16,2018-08-31 20:26:36
2,据链得得消息，近日，一位区块自媒体负责人已被公安部门帯走协助调查。这家自媒体以币圈爆料而活跃。近日中国以「区块链」名义行非法金融行为的整顿正在进行，继一大批区块链自媒体微信公众号被永久关停之后，经权威渠道获悉，部分涉嫌非法集资和诈骗的项目、相关媒体已经开始被重点审查。,据报一位区块链自媒体负责人被公安带走调查,14:48,2018-08-31 20:26:36
3,以太坊网页端钱包 Mycrypto 获得 400 万美元 A 轮融资，Polychain领投。Mycrypto 是 MyEtherWallet 分叉版本。MyEtherWallet 之前以便捷的以太坊、ERC-20 代币的网页版钱包解决方案而广受加密货币用户欢迎。,Mycrypto 获得 400 万美元 A 轮融资,13:43,2018-08-31 20:26:36
4,据 cointelegraph 消息，昨天雅虎财经在其平台上买卖交易了 BTC、ETH 和 LTC。今日雅虎财经公关代表 Caitlin O'Neill 解释说：昨日推出的买卖交易仅针对 IOS 应用程序。桌面、移动网络和 Android 等相关应用将在未来几周内推出。,雅虎加密交易目前仅在 IOS 应用程序上可用,13:39,2018-08-31 20:26:37
5,据 bitcoin.com 消息，韩国庆尚北道计划以一种数字货币来取代当地九个城市过去常用的代金券，该数字货币暂命名为 Gyeongbuk 币。据悉，当地或将打造一个专门的交易平台，在这个交易平台上，Gyeongbuk 币可用于直接买卖。另外，Gyeongbuk 币在当地可用作付款方式，商家可通过智能手机扫描二维码接收。,韩国庆尚北道计划发行一种数字货币，欲取代当地一种代金券,13:21,2018-08-31 20:26:37
6,据财联社消息，近日百度旗下北京鼎鹿中原科技公司，注资 5000 万元成立了度链网络科技（海南）有限公司，百度高级副总裁向海龙担任董事长。公司经营范围为区域链技术研发、技术转让及技术应用等。对此，百度方面回复财联社称，百度目前在积极布局区块链，推动产业化进程，但对于新成立公司不予置评。,百度成立区块链技术研发公司「度链」,13:15,2018-08-31 20:26:37
7,近日，贵州省版权登记中心正式成立。著作权人在「贵州省版权登记平台」上实名注册后提交作品，即可获得基于无钥签名区块链技术的「区块链版权存证证书」，「一站式」建立一个不可篡改、可信赖、可查验的版权登记体系。一旦产生版权侵权纠纷，平台出具的「存证证明」可作为著作权人向司法机构提供的初步证据。,贵州省版权登记中心成立，打造「区块链版权存证证书」,13:10,2018-08-31 20:26:37
8,今日，广州市工商局出台《关于深入学习贯彻习近平总书记重要讲话精神落实「四个走在全国前列」的意见》。《意见》指出，要打造商事登记改革升级版，增创市场准入新优势。在黄埔区试点「区块链+商事服务」模式，探索打造共享式「登记网」。,广州市工商局出台意见，将在黄埔区试点「区块链+商事服务」模式,13:07,2018-08-31 20:26:37
9,硅谷区块链投资基金 Continue Capital 宣布以 200 万美元，战略投资公链项目 Algorand，同时成为该项目 25 个全球节点之一。Algorand 是第一个提出随机共识机制的区块链项目，由麻省理工学院教授、图灵奖得主Silvio Micali 发起，2 月份曾获得 Pillar 和 Union Square Ventures 的 400 万美元种子投资。该项目目前已经发布了第一版测试链，主链预计将于今年底或明年初上线。,Continue Capital 战略投资公链项目 Algorand，成为 25 个全球节点之一,12:14,2018-08-31 20:26:37
10,TokenInsight 数据显示，北京时间 08 月 30 日 10:00 至 08 月 31 日 10:00，BTC 大额转账（100 枚及以上）总交易额数约为 184536.4 枚，较昨日下降 7.62%；转账笔数为 585 笔，较昨日下降 6.7%。BTC 单个地址转账总额最高约为 10737.56 枚，由 Bitfinex 交易所热钱包地址发起，大部分流出 Bitfinex 进入别家交易所。排名第二约为 5784.27 枚 BTC，由用户找零地址发起，其中 98% 被转入新生找零地址，余下约 100 枚被转入热钱包地址。排名第三约为 4072.82 枚 BTC，由用户找零地址发起，其中 97% 被转入新生找零地址，余下约 100 枚被转入热钱包地址。,TokenInsight：近 24 小时 BTC 大额转账数据统计,11:39,2018-08-31 20:26:37
11,NChain 首席科学家 Craig Wright 接受 Crypto Strategies 采访时表示，比特大陆吴忌寒和比特大陆支持的 Bitcoin ABC 计划在 2018 年 11 月 15 日对比特币现金 BCH 进行硬分叉是「分裂行为」，宣称「你要分裂，我们要你破产……我们有更多的算力，我们会集中算力跟你干，你死定了」。Coingeek 创始人 Calvin Ayre 和 Craig Wright 宣布的计划--BCH SV 不支持 Bitcoin ABC 的计划修改，其设计的区块大小是 128 MB。,Craig Wright：吴忌寒要「分裂」BCH，我们要你破产,10:48,2018-08-31 20:26:37
