,header,pub_time,url
0,DeepMind和Unity将共同开展人工智能研究,4小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8130-30269286.html
1,英语流利说今日IPO AI能否成其顺利上市的救命稻草？,5小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8470-30269280.html
2,零售行业人工智能背后的使用案例、挑战和利益,6小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8470-30269240.html
3,AI+教育到底该如何落地？,6小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8420-30269230.html
4,中兴事件后，中国AI芯片可实现“弯道超车”？,10小时前,https://ai.ofweek.com/news/2018-09/ART-201714-8500-30269156.html
5,万能的人工智能和神化的AI教育,10小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8500-30269140.html
6,福特养不起10亿美元收购的Argo，正寻求外部车企合作并计划IPO,11小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8460-30269104.html
7,波士顿动力要把仿生机器人推向市场，这是桩合理的生意吗？,11小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8500-30269084.html
8,智能化时代联想该去向何方，杨元庆是这样说的,11小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8500-30269076.html
9,联想集团和深兰科技成立联合实验室！,12小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8460-30269017.html
10,索尼将在α系列相机上加入动物眼部识别功能,15小时前,https://ai.ofweek.com/news/2018-09/ART-201720-8110-30269004.html
