,brief,header,news_url,pubtime,savetime
0,应在关键指标与业务影响间，建立分析链] 近期，滴滴和华住接连发生的两起全国数据危机，说明了行业领军企业在“用好大数据”上还有很长的路要走。在滴滴顺风车司机杀人事件里，滴 ...,互联网企业可通过区块链技术用好大数据,http://tech.sina.com.cn/i/2018-09-26/doc-ifxeuwwr8236939.shtml,大数据,2018-10-03 20:43:16
1,承诺不兑现；有些电商经营者刷销量、刷好评、删差评，严重误导消费者；有些平台出现“大数据杀熟”的情况，引发公众不满，等等。《电子商务法》将于2019年1月1日起正式施行，对电 ...,中消协解读《电子商务法》： 如何应对大数据杀熟,http://tech.sina.com.cn/i/2018-09-26/doc-ihkmwytp1502075.shtml,大数据,2018-10-03 20:43:17
2,8月发生的两起全国数据危机，展现出行业领军公司在“用好大数据”上还有很长的路要走。在滴滴顺风车司机杀人事件里，滴滴的困境是：这么多的个人信用数据，滴滴却未能用好，以至 ...,区块链技术新玩法 大公司不再对大数据无所适从,http://tech.sina.com.cn/n/2018-09-30/doc-ihkmwytq0304254.shtml,大,2018-10-03 20:43:17
3,05亿人次出游，今年预计出行人数还会持续增长。当前，科技手段的普遍运用给各行各业带来了深刻的变革，大数据等技术会给出行领域带来哪些变化？拒绝盲目出行 可预测性增强 与传统 ...,大数据让国庆出行更智能：支持个性化选择,http://tech.sina.com.cn/d/2018-09-29/doc-ihkmwytp9293333.shtml,大数据,2018-10-03 20:43:17
4,财联社9月27日讯，工信部发布2018年大数据产业发展试点示范项目公示名单，包括中国电信股份有限公司云计算分公司的中国电信天翼大数据飞龙平台研发、深圳市腾讯计算机系统有限公司的 ...,工信部发布2018大数据产业发展试点示范项目公示名单,http://tech.sina.com.cn/i/2018-09-27/doc-ifxeuwwr8791473.shtml,大数据,2018-10-03 20:43:17
5,多项技术专利，可以突破单机的存储和计算瓶颈。白皮书提到，百度将超级链技术与AI、大数据等技术相结合，相继推出图腾、百科上链、百度会学等六大应用。在内容版权领域，百度基于 ...,直击|百度区块链实验室发布白皮书 将结合AI、大数据,http://tech.sina.com.cn/i/2018-09-26/doc-ifxeuwwr8343672.shtml,大数据,2018-10-03 20:43:17
6,原标题：公共服务要有“大数据思维”张书城 深化治理改革、激活治理资源、创新管理手段、提升公共服务，大数据有大用处 大数据不仅是一种技术潮流，在应用过程中，也深刻影响着人 ...,人民日报：公共服务要有“大数据思维”,http://news.sina.com.cn/c/2018-09-26/doc-ifxeuwwr8208109.shtml,大数据,2018-10-03 20:43:17
7,原标题：最高法大数据：出租车案发率约为网约车13倍 网约车犯罪半数案发夜间 法制晚报·看法新闻（记者 赵加琪）20日下午，最高法院发布网约车与出租车服务过程中犯罪情况司法大数据 ...,最高法大数据：出租车案发率约为网约车13倍,http://news.sina.com.cn/s/2018-09-20/doc-ihkhfqnt3022400.shtml,大数据,2018-10-03 20:43:17
8,近日，河南高校基本都已开学，2018级新生也开启了四年的大学生活。河南部分高校的“小石坝”的新生大数据公开啦！你们关注的新生人数、男女比例、生源情况等数据，小编也汇总了一下 ...,河南高校本科新生大数据：男女比例各有千秋,http://edu.sina.com.cn/gaokao/2018-09-25/doc-ifxeuwwr7920247.shtml,大数据,2018-10-03 20:43:17
9,通信世界网消息（CWW）9月25日，根据《工业和信息化部办公厅关于组织开展2018年大数据产业发展试点示范项目申报工作的通知》（工厅信软〔2017〕987号）要求，工业和信息化部组织开展了相 ...,2018年大数据产业发展试点示范项目名单,http://tech.sina.com.cn/roll/2018-09-26/doc-ihkmwytp1453492.shtml,大数据,2018-10-03 20:43:17
