,brief,classes_name,header,news_url,pubtime
0,这家网红机器人公司又火了。 最近，接连发布的两条波士顿动力机器人的最新视频让不少人感到惊讶，一段是发布于今年10月11日标题为跑酷阿特拉斯的视频，显示出Atlas轻松地跑上2英尺高的台阶。 而在另一段SpotMini机器人跳舞的视频中，则尽显了其机器人的灵活程度。 自从2013年被谷歌收,人工智能,起底网红机器人波士顿动力,http://www.aihot.net/robot/12174.html,2018-10-28 19:44:05
1,参与调查的人希望挽救更多的生命，人类优于动物，儿童优于成年人。 到2020年，预计将有多达1000万辆自动驾驶汽车上路，届时，它们将面临艰难的抉择。可以理解的是，建立一个能够解决经典电车问题的决策系统相对紧迫。在这个问题中，一个人（或电脑，视情况而定）被迫决定是否要牺牲几个人的生命来换,人工智能,一场200多万人的测试，教会自动驾驶车辆如何“救人”,http://www.aihot.net/selfdriving/12173.html,2018-10-28 19:44:05
2,大多数消费者在购买移动设备的时候仍然倾向于选择传统的配色，比如黑色。 市场分析公司 Strategy Analytics 针对智能手机市场的一项调查发现，尽管智能手机的配色越来越多，但是大多数消费者在购买移动设备的时候仍然倾向于选择传统的配色。目前尚不清楚这对苹果推出新款 iPhone XR 的,人工智能,调查：彩色iPhone XR其实并没那么受欢迎,http://www.aihot.net/iot/12172.html,2018-10-28 19:44:05
3,苹果最近提交了一项辣眼睛的专利：把无人驾驶汽车串起来，是真的串起来，而且是有线的！ 苹果把这项专利叫做Peloton，来源于法语，是指自行车赛中的车队，车手之间以团队协作获得更高的效率。Peloton中车辆以连接臂首尾相连，实现车与车之间的电力共享。 有点类似于大象妈妈用尾巴拉着大象宝宝，,人工智能,传说中的“铁索连环”？苹果要把无人车串成小火车,http://www.aihot.net/selfdriving/12171.html,2018-10-28 19:44:05
4,▲李永乐用物理方法分析C罗的电梯球。 10月19日，学校一间空教室的黑板上，留着李永乐前一天录制视频时的板书。新京报记者 王双兴 摄 官宣变成流行语刷屏的这些天，网红李永乐决定蹭个热点，讲讲如何恋爱才能找到真命天子&mdash;&mdash;用数学的方法。 李永乐在人大附中里找了一间空教,人工智能,"""网红""物理老师李永乐:借社会热点讲科学知识火了",http://www.aihot.net/application/12170.html,2018-10-28 19:44:05
5,10月26日消息，今日苏宁易购总裁侯恩龙在双十一发布会现场宣布，11月1日至11日，苏宁自营产品将实现运费全免。 侯恩龙还透露，双十一期间，除自营产品运费全免外，苏宁物流的产品体系正在完善，精准化配送也将进一步加强。准时达、顺时取服务全面升级，覆盖全国100个城市。依托于苏宁小店的苏宁,人工智能,苏宁易购总裁侯恩龙：“双11”运费不收一毛钱,http://www.aihot.net/other/finance/12169.html,2018-10-28 19:44:05
6,iPhone XR 目前仍然可以预购，而且发货时间仅为 3 至 5 个工作日。 根据一份新报告显示，苹果在中国市场的 iPhone XR 销量上押下重注，这家美国公司在 iPhone XR 的第一批发货量中为中国消费者分配了全球供应量的三分之二。 来自供应链的消息称，在首批全球销售的 300 多万部 iPhone XR,人工智能,首批iPhone XR发货量国内市场占三分之二,http://www.aihot.net/iot/12168.html,2018-10-28 19:44:05
7,10月27日消息，今日2018世界生命科学大会在北京国家会议中心举行，2018世界生命科学大会主席，全国人大常委会副委员长、中国科学院院士陈竺发表演讲，他表示：40年来，中国经济社会发展取得举世瞩目的成就，经济总量跃居世界第二，卫生与健康事业加快发展，居民从1981年的67.8到2017年的76.7岁，近14,人工智能,院士陈竺:要高度重视生命科学与大数据等多学科交叉,http://www.aihot.net/other/medicine/12167.html,2018-10-28 19:44:05
8,10月27日消息，OPPO全球副总裁、中国大陆事业部总裁沈义人在微博上透露了OPPO 5G手机的最新进展。通过其配图可以看到，OPPO手机实现了第一次5G上网浏览网页。沈义人称成为首批商用5G手机可期。 沈义人微博表示，在10月27日凌晨4点47分，OPPO在其5G通信协议实验室，成功实现了OPPO手机的第,人工智能,OPPO手机首次5G上网，沈义人称首批商用5G可期,http://www.aihot.net/iot/12166.html,2018-10-28 19:44:05
9,10月26日消息，华为Mate20系列海外版在伦敦发布之后，今天在上海发布了国行版，同时发布了最新版的华为Watch、华为儿童手表、华为AI音箱等智能硬件。Mate20售价3999元起，Mate20RS保时捷设计封顶12999元。 保时捷四眼灯设计 华为Mate20系列硬件配置没太大悬念，在伦敦发布会上已经做了详,人工智能,华为Mate20系列国行版发布，3999元起最高12999元,http://www.aihot.net/iot/12165.html,2018-10-28 19:44:05
10,5G商用，频谱先行。随着频谱资源利益博弈进入最后阶段，落地的时间也日益明朗化。 第一财经记者日前从知情人士处得到消息，中国5G频谱将于近期公布，而随着频谱方案的最终确定，5G的牌照也将于今年年底或者明年年初发布。目前已经由工信部上报上级部门。该人士表示，牌照的最终发放数量依然,人工智能,5G商用进入倒计时，国产手机能否借机赶超苹果三星,http://www.aihot.net/iot/12164.html,2018-10-28 19:44:05
11,10月27日消息，据科技博客网站MacRumors报道，苹果新的廉价版旗舰智能手机iPhone XR当地时间周五推出，著名拆解网站iFixit对苹果这款新产品进行了拆解，旨在窥视苹果硬件内部细节。对苹果iPhone XR的拆卸表明，除了屏幕大小和后置摄像头配置数量之外，iPhone XR与iPhone XS几乎没有什么明,人工智能,拆解显示iPhone XR与iPhone XS几乎没有什么区别,http://www.aihot.net/iot/12163.html,2018-10-28 19:44:05
