,header,pub_time,url
0,博实乐教育集团拟数亿元收购留学生求职企业DBC,19:03,https://pe.pedaily.cn/201810/437272.shtml
1,2018前三季度教育行业融资超430亿，11家教育机构成功IPO,18:31,https://news.pedaily.cn/201810/437271.shtml
2,文远知行完成A轮融资，雷诺日产三菱联盟战略领投,15:42,https://pe.pedaily.cn/201810/437258.shtml
3,马化腾发公开信：腾讯将扎根消费互联网、拥抱产业互联网，助力实体产业,15:34,https://news.pedaily.cn/201810/437257.shtml
4,全球首个区块链搜索引擎公司Midu亮相，天使轮融资背后众多明星资本加持,12:23,https://news.pedaily.cn/201810/437253.shtml
5,中澜视讯获腾讯TOPIC基金数千万元A轮融资 ，短视频内容价值显现,10:32,https://pe.pedaily.cn/201810/437250.shtml
6,"进口电商平台“魔法灯”完成数千万元A轮融资,翊翎资本投资",9:29,https://news.pedaily.cn/201810/437246.shtml
7,爱奇艺Q3财报：会员达8070万同比大涨89%，总营收69亿元,9:29,https://news.pedaily.cn/201810/437247.shtml
8,智能微投制造商橙子电子获1千万Pre-A轮融资，深圳兆驰数码领投,17:32,https://pe.pedaily.cn/201810/437218.shtml
9,消费金融出海品牌Akulaku获7000万美元C轮融资，凡普金科集团领投,15:10,https://pe.pedaily.cn/201810/437210.shtml
10,汽车综合服务商“爱义行”完成数千万人民币A+轮融资，上海车孵企业领投,14:55,https://news.pedaily.cn/201810/437209.shtml
11,咔哒故事获得挚信资本领投A+轮融资，全新升级“KaDa故事”,14:53,https://pe.pedaily.cn/201810/437208.shtml
12,医起公司完成A轮投资，美国FDA首次批准中药创新药抗癌进入国际多中心临床试验,14:18,https://pe.pedaily.cn/201810/437207.shtml
13,大麦理财宣布完成D轮融资，欲赴美上市,13:50,https://pe.pedaily.cn/201810/437201.shtml
14,增值课程服务供应商好前程获200万元种子轮融资,13:39,https://news.pedaily.cn/201810/437200.shtml
15,亲子服务企业“闪闪”完成A3轮千万级融资，仁爱资本投资,13:16,https://pe.pedaily.cn/201810/437199.shtml
16,中装速配我完成2000万元Pre-A轮融资，银河系创投领投,12:00,https://news.pedaily.cn/201810/437197.shtml
17,进军现代农业，桂碧园欲收购华大基因农业公司,11:27,https://news.pedaily.cn/201810/437194.shtml
18,时隔七年A股再迎险企！中国人保回A发行规模或超58亿,11:12,https://news.pedaily.cn/201810/437190.shtml
19,女装租赁平台“女神派”完成 B＋轮融资，蚂蚁金服投资,9:40,https://pe.pedaily.cn/201810/437185.shtml
