,brief,header,pub_time,type,url
0,Intel中国研究院院长宋继强题为《智能时代的芯片技术演进》的演讲回顾并分析了摩尔定律在60年里的演进，并分析了神经拟态芯片和量子芯片等未来发展方向,Intel中国研究院宋继强：智能时代的芯片技术演进 | 纪念集成电路发明60周年,1分钟前,业界,https://www.leiphone.com/news/201811/UdjD1LLicMsvmBxq.html
1,欢迎加入！,雷锋网大招募！,09月13日 16:23,业界,https://www.leiphone.com/news/201809/amneGfjKmtz17EJD.html
2,新一代iPad Pro，除了外观屏幕的变化，i搭载的A12X Bionic处理器也值得关注。,有了性能超92%笔记本电脑的A12X Bionic，苹果可以和英特尔x86处理器分手了？,1小时前,业界,https://www.leiphone.com/news/201811/CSvNyI0mAewbQbrZ.html
3,是机器人，更是家人,智在生活 自在慵懒 科沃斯机器人X京东大牌秒杀日主题展亮相无锡,2小时前,业界,https://www.leiphone.com/news/201811/YQ1GFA4NUA8UxKXZ.html
4,5G时代，靠2C已经没有什么搞头，运营商或许已经决定将重心放在2B上，开启新的经营时代。,5G计费方式将迎来彻底变化    运营商向2B服务出手？,3小时前,业界,https://www.leiphone.com/news/201811/R1EUGQu9PYvMF0VS.html
5,行业上云是新浪潮呀~,金山云和鞍钢搞了个霸气的“精钢云”，我们试图详解一下,3小时前,业界,https://www.leiphone.com/news/201811/hQWyIG8q4I6C8hhe.html
6,无论是手机处理器市场市占最高的高通还是目前移动设备处理器IP最重要的提供方Arm，都迟迟没有推出集成NPU的处理器，这究竟是为什么？,“统治”移动处理器市场的Arm为何明年Q1才发布AI处理器？,5小时前,业界,https://www.leiphone.com/news/201811/QaPcIF3g2ArOiK5z.html
7,在AI赋能的新时代机遇面前，人人平等。如何敏锐洞察市场需求，利用好AI技术附能的免费福利，是中小企业在AI应用落地中正待抓住的新契机。,持续免费赋能助推AI落地 虹软人脸识别SDK升级全新版本,6小时前,业界,https://www.leiphone.com/news/201811/Fe4tQKVmbJKXzrrc.html
8,苹果所谓的环保只是公关攻势？,都是套路！苹果所谓的“100% 循环再利用”材料只是公关攻势？,6小时前,业界,https://www.leiphone.com/news/201811/p4cYR7bxDXU3WfAN.html
9,在未来，平安科技将与更多的合作伙伴围绕“AI”技术挖掘更多智慧场景，展开生态合作。,报考排队1小时？平安科技说只需90秒,6小时前,业界,https://www.leiphone.com/news/201811/TkVWskWz1fXV1v0r.html
10,今年年底之前，广东省公安机关将逐步在全省所有旅馆推广应用居民身份电子凭证。,广东省推出居民身份电子凭证，忘带身份证也能住酒店了,8小时前,业界,https://www.leiphone.com/news/201811/d1coaAWXPUYQEMzc.html
11,一包6块8的有机菜也有阿里云IoT工程师默默守候,平价有机蔬菜亮相天猫双11，阿里云IoT成助攻神器,9小时前,业界,https://www.leiphone.com/news/201811/Pq1RB2c7uaFMpNUA.html
12,"荣耀手机通过""潮酷＆极限""两手抓，来拉近年轻人的走心营销，在众多品牌突围战中，显得格外引人注目。",5年都没玩够丨荣耀手机 X FISE,11小时前,业界,https://www.leiphone.com/news/201811/TI76rYXgZiVlWbma.html
13,智能家居仍需产业助推。,智能家居崛起之路，讯飞的思考与开放,11小时前,业界,https://www.leiphone.com/news/201810/9gOGUEhFCJqaIqcx.html
